Vehicle Location,ev_count
POINT (-123.38663 46.20785),64
POINT (-123.40382 47.00379),93
POINT (-123.43112 48.11892),417
POINT (-123.45711 48.12636),229
POINT (-123.45797 46.2716),9
POINT (-123.60076 46.98384),110
POINT (-123.61022 46.35588),4
POINT (-123.6386 46.33397),4
POINT (-123.72994 46.68867),65
POINT (-123.76897 46.9541),25
POINT (-123.81154 46.36545),23
POINT (-123.81251 46.66641),8
POINT (-123.81619 46.97606),231
POINT (-123.84618 47.46807),5
POINT (-123.88689 46.97982),69
POINT (-123.89691 47.45917),4
POINT (-123.94534 46.27264),3
POINT (-123.95518 46.63188),1
POINT (-123.99814 46.71227),9
POINT (-124.02697 46.54905),3
POINT (-124.03547 46.3088),22
POINT (-124.04987 46.49147),93
POINT (-124.05439 46.35232),56
POINT (-124.05475 46.3354),7
POINT (-124.07463 47.11059),2
POINT (-124.09366 46.80933),16
POINT (-124.10425 46.89112),35
POINT (-124.16408 47.01156),191
POINT (-124.16705 47.11487),10
POINT (-124.20177 47.20886),33
POINT (-124.21349 47.23932),6
POINT (-124.26015 48.25371),2
POINT (-124.28628 47.34257),9
POINT (-124.30041 48.25978),7
POINT (-124.33152 48.05431),1
POINT (-124.38543 47.95014),28
POINT (-124.62735 48.36778),11
